Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 16:00:40
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\Data Collection_01_19\CSV\vei_v1280_190417160039_V1280.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =vei_v1280
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
  Location                =vei_v1280
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =18:01:17 05/06/17
  End date / time         =18:01:15 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/13 10:01:18,1069.550,25.530,33.652
2017/06/13 11:01:18,1068.908,25.530,33.620
2017/06/13 12:01:18,1068.325,25.547,33.596
2017/06/13 13:01:18,1067.217,25.570,33.608
2017/06/13 14:01:18,1068.442,25.613,33.756
2017/06/13 15:01:18,1077.775,25.677,34.276
2017/06/13 16:01:18,1086.175,25.757,34.528
2017/06/13 17:01:18,1091.133,25.863,34.668
2017/06/13 18:01:18,1087.867,26.020,34.588
2017/06/13 19:01:18,1080.867,26.203,34.316
2017/06/13 20:01:18,1070.308,26.437,33.368
2017/06/13 21:01:18,1067.858,26.397,33.268
2017/06/13 22:01:18,1067.683,26.420,33.256
2017/06/13 23:01:18,1067.975,26.457,33.292
2017/06/14 00:01:18,1067.217,26.470,33.284
2017/06/14 01:01:18,1066.458,26.447,33.324
2017/06/14 02:01:18,1066.108,26.383,33.336
2017/06/14 03:01:18,1065.817,26.250,33.380
2017/06/14 04:01:18,1065.350,26.087,33.412
2017/06/14 05:01:18,1068.617,26.020,33.596
2017/06/14 06:01:18,1077.483,26.060,34.104
2017/06/14 07:01:18,1081.217,26.030,34.288
2017/06/14 08:01:18,1075.617,25.803,33.908
2017/06/14 09:01:18,1069.550,25.643,33.396
2017/06/14 10:01:18,1069.083,25.727,33.312
2017/06/14 11:01:18,1068.325,25.770,33.296
2017/06/14 12:01:18,1067.683,25.800,33.292
2017/06/14 13:01:18,1066.575,25.840,33.304
2017/06/14 14:01:18,1065.350,25.927,33.348
2017/06/14 15:01:18,1080.867,27.677,36.060
2017/06/14 16:01:18,1089.267,25.963,35.908
2017/06/14 17:01:18,1098.133,25.930,35.968
2017/06/14 18:01:18,1100.117,25.997,35.976
2017/06/14 19:01:18,1094.400,26.107,35.920
2017/06/14 20:01:18,1086.000,26.233,35.728
2017/06/14 21:01:18,1077.483,26.343,35.444
2017/06/14 22:01:18,1076.550,26.400,35.476
2017/06/14 23:01:18,1076.375,26.473,35.476
2017/06/15 00:01:18,1076.083,26.553,35.496
2017/06/15 01:01:18,1075.442,26.620,35.488
2017/06/15 02:01:18,1074.800,26.677,35.440
2017/06/15 03:01:18,1074.042,26.720,35.480
2017/06/15 04:01:18,1073.750,26.747,35.468
2017/06/15 05:01:18,1074.217,26.760,35.508
2017/06/15 06:01:18,1082.733,26.740,35.808
2017/06/15 07:01:18,1088.975,26.740,35.968
2017/06/15 08:01:18,1088.158,26.757,35.944
2017/06/15 09:01:18,1080.575,26.770,35.556
2017/06/15 10:01:18,1076.083,26.740,35.344
2017/06/15 11:01:18,1075.442,26.697,35.296
2017/06/15 12:01:18,1074.333,26.670,35.316
2017/06/15 13:01:18,1073.400,26.647,35.264
2017/06/15 14:01:18,1072.175,26.640,35.224
2017/06/15 15:01:18,1070.775,26.650,35.204
2017/06/15 16:01:18,1074.975,26.663,35.300
2017/06/15 17:01:18,1083.025,26.720,35.572
2017/06/15 18:01:18,1090.492,26.797,35.820
2017/06/15 19:01:18,1092.358,26.907,35.892
2017/06/15 20:01:18,1086.933,27.070,35.688
2017/06/15 21:01:18,1077.775,27.253,35.580
2017/06/15 22:01:18,1073.400,27.300,35.576
2017/06/15 23:01:18,1072.817,27.350,35.604
2017/06/16 00:01:18,1072.175,27.420,35.588
2017/06/16 01:01:18,1070.775,27.483,35.608
2017/06/16 02:01:18,1070.483,27.527,35.608
2017/06/16 03:01:18,1069.258,27.557,35.628
2017/06/16 04:01:18,1068.733,27.563,35.652
2017/06/16 05:01:18,1068.792,27.557,35.660
2017/06/16 06:01:18,1070.950,27.530,35.648
2017/06/16 07:01:18,1081.625,27.473,35.804
2017/06/16 08:01:18,1088.508,27.453,35.992
2017/06/16 09:01:18,1085.825,27.450,35.904
2017/06/16 10:01:18,1079.000,27.427,35.780
2017/06/16 11:01:18,1072.000,27.383,35.760
2017/06/16 12:01:18,1070.775,27.327,35.744
2017/06/16 13:01:18,1069.842,27.283,35.740
2017/06/16 14:01:18,1069.083,27.253,35.708
2017/06/16 15:01:18,1067.858,27.247,35.720
2017/06/16 16:01:18,1066.925,27.257,35.680
2017/06/16 17:01:18,1065.642,27.293,35.688
2017/06/16 18:01:18,1070.775,27.330,35.740
2017/06/16 19:01:18,1075.267,27.403,35.880
2017/06/16 20:01:18,1078.067,27.503,35.996
2017/06/16 21:01:18,1076.842,27.617,36.004
2017/06/16 22:01:18,1071.242,27.763,35.944
2017/06/16 23:01:18,1069.667,27.813,35.928
2017/06/17 00:01:18,1069.083,27.867,35.932
2017/06/17 01:01:18,1068.267,27.917,35.924
2017/06/17 02:01:18,1067.800,27.947,35.920
2017/06/17 03:01:18,1067.508,27.960,35.932
2017/06/17 04:01:18,1067.333,27.957,35.928
2017/06/17 05:01:18,1066.925,27.937,35.920
2017/06/17 06:01:18,1067.333,27.903,35.936
2017/06/17 07:01:18,1076.667,27.827,36.036
2017/06/17 08:01:18,1086.758,27.790,36.172
2017/06/17 09:01:18,1086.292,27.757,36.176
2017/06/17 10:01:18,1081.508,27.703,36.132
2017/06/17 11:01:18,1075.267,27.660,36.112
2017/06/17 12:01:18,1071.242,27.617,36.072
2017/06/17 13:01:18,1069.842,27.573,36.044
2017/06/17 14:01:18,1068.792,27.540,36.048
2017/06/17 15:01:18,1068.150,27.523,36.020
2017/06/17 16:01:18,1067.042,27.530,36.008
2017/06/17 17:01:18,1066.458,27.560,36.016
2017/06/17 18:01:18,1065.350,27.617,36.012
2017/06/17 19:01:18,1067.975,27.673,36.016
2017/06/17 20:01:18,1074.333,27.747,36.196
2017/06/17 21:01:18,1079.758,27.857,36.484
2017/06/17 22:01:18,1077.483,27.980,36.444
2017/06/17 23:01:18,1071.883,28.083,36.404
2017/06/18 00:01:18,1070.483,28.113,36.384
2017/06/18 01:01:18,1069.375,28.157,36.384
2017/06/18 02:01:18,1068.733,28.190,36.404
2017/06/18 03:01:18,1068.267,28.210,36.380
2017/06/18 04:01:18,1067.508,28.207,36.380
2017/06/18 05:01:18,1067.683,28.190,36.408
2017/06/18 06:01:18,1067.975,28.153,36.380
2017/06/18 07:01:18,1068.733,28.097,36.376
2017/06/18 08:01:18,1076.375,28.017,36.432
2017/06/18 09:01:18,1086.175,27.947,36.508
2017/06/18 10:01:18,1092.183,27.893,36.560
2017/06/18 11:01:18,1087.108,27.850,36.540
2017/06/18 12:01:18,1077.600,27.807,36.480
2017/06/18 13:01:18,1072.175,27.763,36.432
2017/06/18 14:01:18,1070.483,27.723,36.384
2017/06/18 15:01:18,1068.908,27.703,36.392
2017/06/18 16:01:18,1067.508,27.707,36.388
2017/06/18 17:01:18,1067.042,27.740,36.364
2017/06/18 18:01:18,1066.283,27.793,36.376
2017/06/18 19:01:18,1066.925,27.870,36.408
2017/06/18 20:01:18,1067.217,27.953,36.408
2017/06/18 21:01:18,1076.842,28.003,36.508
2017/06/18 22:01:18,1085.533,28.120,36.708
2017/06/18 23:01:18,1088.042,28.230,36.732
2017/06/19 00:01:18,1079.758,28.363,36.680
2017/06/19 01:01:18,1073.692,28.387,36.672
2017/06/19 02:01:18,1072.175,28.377,36.668
2017/06/19 03:01:18,1071.242,28.383,36.668
2017/06/19 04:01:18,1070.483,28.383,36.664
2017/06/19 05:01:18,1069.842,28.370,36.656
2017/06/19 06:01:18,1069.842,28.330,36.668
2017/06/19 07:01:18,1070.017,28.267,36.660
