Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 15:54:26
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\New folder\CSV\sws_r3395_190417155425_R3395.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =sws_r3395
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
  Location                =sws_r3395
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =32:48:16 08/06/17
  End date / time         =32:48:14 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/14 07:48:32,1086.642,23.987,62.580
2017/06/14 08:48:32,1087.108,23.993,62.572
2017/06/14 09:48:32,1087.692,24.027,62.516
2017/06/14 10:48:32,1087.692,24.043,62.544
2017/06/14 11:48:32,1087.517,24.040,62.544
2017/06/14 12:48:32,1087.225,24.037,62.560
2017/06/14 13:48:32,1086.642,24.030,62.564
2017/06/14 14:48:32,1086.175,24.023,62.564
2017/06/14 15:48:32,1085.592,24.013,62.536
2017/06/14 16:48:32,1085.300,24.010,62.552
2017/06/14 17:48:32,1085.300,24.010,62.556
2017/06/14 18:48:32,1084.717,24.013,62.572
2017/06/14 19:48:32,1085.008,24.030,62.592
2017/06/14 20:48:32,1085.125,24.047,62.624
2017/06/14 21:48:32,1085.417,24.073,62.584
2017/06/14 22:48:32,1085.883,24.100,62.628
2017/06/14 23:48:32,1085.883,24.130,62.592
2017/06/15 00:48:32,1085.475,24.160,62.640
2017/06/15 01:48:32,1085.125,24.187,62.604
2017/06/15 02:48:32,1084.833,24.207,62.636
2017/06/15 03:48:32,1084.250,24.227,62.592
2017/06/15 04:48:32,1083.958,24.243,62.612
2017/06/15 05:48:32,1084.075,24.253,62.620
2017/06/15 06:48:32,1084.367,24.257,62.628
2017/06/15 07:48:32,1084.717,24.260,62.616
2017/06/15 08:48:32,1084.833,24.260,62.604
2017/06/15 09:48:32,1085.300,24.260,62.604
2017/06/15 10:48:32,1085.300,24.250,62.592
2017/06/15 11:48:32,1085.125,24.247,62.600
2017/06/15 12:48:32,1084.717,24.240,62.588
2017/06/15 13:48:32,1084.250,24.230,62.592
2017/06/15 14:48:32,1083.492,24.220,62.560
2017/06/15 15:48:32,1083.200,24.213,62.636
2017/06/15 16:48:32,1082.617,24.213,62.608
2017/06/15 17:48:32,1082.033,24.213,62.612
2017/06/15 18:48:32,1081.100,24.220,62.568
2017/06/15 19:48:32,1081.392,24.233,62.576
2017/06/15 20:48:32,1082.325,24.257,62.584
2017/06/15 21:48:32,1083.025,24.283,62.572
2017/06/15 22:48:32,1082.733,24.317,62.612
2017/06/15 23:48:32,1082.325,24.347,62.588
2017/06/16 00:48:32,1081.567,24.377,62.576
2017/06/16 01:48:32,1081.392,24.403,62.592
2017/06/16 02:48:32,1080.517,24.427,62.576
2017/06/16 03:48:32,1079.875,24.447,62.588
2017/06/16 04:48:32,1079.583,24.460,62.616
2017/06/16 05:48:32,1080.050,24.473,62.640
2017/06/16 06:48:32,1080.342,24.477,62.580
2017/06/16 07:48:32,1080.225,24.480,62.580
2017/06/16 08:48:32,1081.275,24.483,62.584
2017/06/16 09:48:32,1081.567,24.473,62.620
2017/06/16 10:48:32,1081.392,24.470,62.612
2017/06/16 11:48:32,1081.275,24.463,62.616
2017/06/16 12:48:32,1080.925,24.453,62.584
2017/06/16 13:48:32,1080.517,24.443,62.580
2017/06/16 14:48:32,1080.342,24.437,62.588
2017/06/16 15:48:32,1079.583,24.427,62.560
2017/06/16 16:48:32,1079.000,24.430,62.552
2017/06/16 17:48:32,1078.533,24.430,62.584
2017/06/16 18:48:32,1077.950,24.447,62.604
2017/06/16 19:48:32,1077.950,24.467,62.640
2017/06/16 20:48:32,1077.833,24.493,62.616
2017/06/16 21:48:32,1077.950,24.527,62.664
2017/06/16 22:48:32,1078.592,24.567,62.652
2017/06/16 23:48:32,1078.825,24.610,62.652
2017/06/17 00:48:32,1079.000,24.643,62.616
2017/06/17 01:48:32,1078.417,24.677,62.672
2017/06/17 02:48:32,1078.125,24.707,62.664
2017/06/17 03:48:32,1077.950,24.723,62.680
2017/06/17 04:48:32,1077.950,24.740,62.648
2017/06/17 05:48:32,1077.658,24.750,62.664
2017/06/17 06:48:32,1077.833,24.753,62.672
2017/06/17 07:48:32,1078.533,24.750,62.644
2017/06/17 08:48:32,1079.000,24.743,62.632
2017/06/17 09:48:32,1079.292,24.740,62.592
2017/06/17 10:48:32,1079.583,24.733,62.656
2017/06/17 11:48:32,1079.292,24.720,62.664
2017/06/17 12:48:32,1079.175,24.710,62.644
2017/06/17 13:48:32,1078.708,24.697,62.640
2017/06/17 14:48:32,1078.242,24.687,62.592
2017/06/17 15:48:32,1077.833,24.680,62.652
2017/06/17 16:48:32,1077.483,24.677,62.652
2017/06/17 17:48:32,1076.608,24.680,62.672
2017/06/17 18:48:32,1076.142,24.690,62.636
2017/06/17 19:48:32,1076.142,24.710,62.648
2017/06/17 20:48:32,1076.492,24.737,62.688
2017/06/17 21:48:32,1076.783,24.767,62.656
2017/06/17 22:48:32,1077.075,24.800,62.660
2017/06/17 23:48:32,1076.433,24.830,62.684
2017/06/18 00:48:32,1075.733,24.860,62.664
2017/06/18 01:48:32,1074.975,24.883,62.696
